1,37
TerritoryType,Name
TerritoryType,str
0,
169,监狱废墟托托·拉克千狱
164,地下灵殿塔姆·塔拉墓园
161,封锁坑道铜铃铜山
157,天然要害沙斯塔夏溶洞
172,毒雾洞窟黄金谷
166,名门府邸静语庄园
162,魔兽领域日影地修炼所
158,休养胜地布雷福洛克斯野营地
163,古代遗迹喀恩埋没圣堂
159,神灵圣域放浪神古神殿
168,对龙城塞石卫塔
170,流沙迷宫樵鸣洞
171,山中战线泽梅尔要塞
167,邪教驻地无限城古堡
217,帝国南方堡外围激战
224,天幕魔导城最终决战
160,领航明灯天狼星灯塔
349,骚乱坑道铜铃铜山
350,恶灵府邸静语庄园
362,纷争要地布雷福洛克斯野营地
360,剑斗领域日影地修炼所
363,腐坏遗迹无限城市街古迹
361,财宝传说破舰岛
373,惨剧灵殿塔姆·塔拉墓园
365,激战城塞石卫塔
367,苏醒遗迹喀恩埋没圣堂
371,凛冽洞天披雪大冰壁
387,逆转要害沙斯塔夏溶洞
189,邪念妖地无限城古堡
188,武装圣域放浪神古神殿
416,学识宝库迦巴勒幻想图书馆
150,幻龙残骸密约之塔
420,空中神域不获岛
421,圣教中枢伊修加德教皇厅
430,博物战舰无限回廊
434,冰雪废堡暮卫塔
441,天山绝顶索姆阿尔灵峰
438,血战苍穹魔科学研究所
435,邪龙王座龙巢神殿
510,地脉灵灯天狼星灯塔
511,草木庭园圣茉夏娜植物园
214,完成集团战训练！
190,讨伐彷徨死灵！
215,突破所有关门，讨伐最深处的敌人！
216,捕获金币龟！
191,驱除剧毒妖花！
192,消灭恶徒团伙寄生蜂团！
220,讨伐梦幻之布拉奇希奥！
219,击溃哥布林炸弹军团！
221,讨伐污染源头魔界花！
222,讨伐坑道中出现的妖异！
223,注意无敌的眷属，讨伐大型妖异！
298,讨伐爆弹怪的女王！
299,歼灭特殊阵型的妖异！
300,制止三方混战的巨人族，守住遗物！
202,伊弗利特讨伐战
206,泰坦讨伐战
208,迦楼罗讨伐战
292,伊弗利特歼灭战
293,泰坦歼灭战
294,迦楼罗歼灭战
332,里塔提恩强攻战
295,伊弗利特歼殛战
296,泰坦歼殛战
297,迦楼罗歼殛战
207,莫古力贤王歼灭战
364,莫古力贤王歼殛战
348,究极神兵破坏作战
509,活动挑战1
353,活动挑战2
354,活动挑战3
281,利维亚桑歼灭战
359,利维亚桑歼殛战
368,死化奇美拉讨伐战
369,海德拉讨伐战
366,大桥上的决斗
374,拉姆歼灭战
375,拉姆歼殛战
377,希瓦歼灭战
378,希瓦歼殛战
142,艾玛吉娜杯斗技大会决赛
394,奥丁歼灭战
143,皇都伊修加德保卫战
426,那布里亚勒斯讨伐战
396,无限城的死斗
432,罗波那歼灭战
446,罗波那歼殛战
436,俾斯麦歼灭战
447,俾斯麦歼殛战
437,圆桌骑士歼灭战
448,圆桌骑士幻想歼灭战
174,水晶塔 古代人迷宫
241,巴哈姆特大迷宫 邂逅之章1
242,巴哈姆特大迷宫 邂逅之章2
243,巴哈姆特大迷宫 邂逅之章3
244,巴哈姆特大迷宫 邂逅之章4
245,巴哈姆特大迷宫 邂逅之章5
355,巴哈姆特大迷宫 入侵之章1
356,巴哈姆特大迷宫 入侵之章2
357,巴哈姆特大迷宫 入侵之章3
358,巴哈姆特大迷宫 入侵之章4
372,水晶塔 希尔科斯塔
380,巴哈姆特零式大迷宫 入侵之章1
381,巴哈姆特零式大迷宫 入侵之章2
382,巴哈姆特零式大迷宫 入侵之章3
383,巴哈姆特零式大迷宫 入侵之章4
193,巴哈姆特大迷宫 真源之章1
194,巴哈姆特大迷宫 真源之章2
195,巴哈姆特大迷宫 真源之章3
196,巴哈姆特大迷宫 真源之章4
